STATcube

"Deceased (Q)"
"Year under review and Age of deceased in 5-years groups by Deceased and Gender of deceased"
"Counting: Deceased"

"Year under review","Age of deceased in 5-years groups","Counting","Gender of deceased","Number","Annotations",
"2015","Up to 4 years old","Deceased","male",171,
"2015","Up to 4 years old","Deceased","female",132,
"2015","5 to 9 years old","Deceased","male",18,
"2015","5 to 9 years old","Deceased","female",7,
"2015","10 to 14 years old","Deceased","male",26,
"2015","10 to 14 years old","Deceased","female",19,
"2015","15 to 19 years old","Deceased","male",94,
"2015","15 to 19 years old","Deceased","female",32,
"2015","20 to 24 years old","Deceased","male",173,
"2015","20 to 24 years old","Deceased","female",58,
"2015","25 to 29 years old","Deceased","male",152,
"2015","25 to 29 years old","Deceased","female",68,
"2015","30 to 34 years old","Deceased","male",198,
"2015","30 to 34 years old","Deceased","female",84,
"2015","35 to 39 years old","Deceased","male",278,
"2015","35 to 39 years old","Deceased","female",135,
"2015","40 to 44 years old","Deceased","male",422,
"2015","40 to 44 years old","Deceased","female",259,
"2015","45 to 49 years old","Deceased","male",807,
"2015","45 to 49 years old","Deceased","female",451,
"2015","50 to 54 years old","Deceased","male",1420,
"2015","50 to 54 years old","Deceased","female",700,
"2015","55 to 59 years old","Deceased","male",1965,
"2015","55 to 59 years old","Deceased","female",1077,
"2015","60 to 64 years old","Deceased","male",2594,
"2015","60 to 64 years old","Deceased","female",1436,
"2015","65 to 69 years old","Deceased","male",3648,
"2015","65 to 69 years old","Deceased","female",2151,
"2015","70 to 74 years old","Deceased","male",4998,
"2015","70 to 74 years old","Deceased","female",3134,
"2015","75 to 79 years old","Deceased","male",5626,
"2015","75 to 79 years old","Deceased","female",4159,
"2015","80 to 84 years old","Deceased","male",6335,
"2015","80 to 84 years old","Deceased","female",6443,
"2015","85 to 89 years old","Deceased","male",6569,
"2015","85 to 89 years old","Deceased","female",10060,
"2015","90 to 94 years old","Deceased","male",3545,
"2015","90 to 94 years old","Deceased","female",9681,
"2015","95 plus years old","Deceased","male",821,
"2015","95 plus years old","Deceased","female",3127,
"2015","not applicable","Deceased","male",-,
"2015","not applicable","Deceased","female",-,
"2016","Up to 4 years old","Deceased","male",182,
"2016","Up to 4 years old","Deceased","female",137,
"2016","5 to 9 years old","Deceased","male",16,
"2016","5 to 9 years old","Deceased","female",18,
"2016","10 to 14 years old","Deceased","male",14,
"2016","10 to 14 years old","Deceased","female",19,
"2016","15 to 19 years old","Deceased","male",92,
"2016","15 to 19 years old","Deceased","female",46,
"2016","20 to 24 years old","Deceased","male",152,
"2016","20 to 24 years old","Deceased","female",45,
"2016","25 to 29 years old","Deceased","male",160,
"2016","25 to 29 years old","Deceased","female",66,
"2016","30 to 34 years old","Deceased","male",215,
"2016","30 to 34 years old","Deceased","female",93,
"2016","35 to 39 years old","Deceased","male",239,
"2016","35 to 39 years old","Deceased","female",130,
"2016","40 to 44 years old","Deceased","male",380,
"2016","40 to 44 years old","Deceased","female",236,
"2016","45 to 49 years old","Deceased","male",783,
"2016","45 to 49 years old","Deceased","female",419,
"2016","50 to 54 years old","Deceased","male",1281,
"2016","50 to 54 years old","Deceased","female",735,
"2016","55 to 59 years old","Deceased","male",1992,
"2016","55 to 59 years old","Deceased","female",1072,
"2016","60 to 64 years old","Deceased","male",2576,
"2016","60 to 64 years old","Deceased","female",1401,
"2016","65 to 69 years old","Deceased","male",3757,
"2016","65 to 69 years old","Deceased","female",2175,
"2016","70 to 74 years old","Deceased","male",4482,
"2016","70 to 74 years old","Deceased","female",2966,
"2016","75 to 79 years old","Deceased","male",5921,
"2016","75 to 79 years old","Deceased","female",4456,
"2016","80 to 84 years old","Deceased","male",5841,
"2016","80 to 84 years old","Deceased","female",5969,
"2016","85 to 89 years old","Deceased","male",6362,
"2016","85 to 89 years old","Deceased","female",9059,
"2016","90 to 94 years old","Deceased","male",3582,
"2016","90 to 94 years old","Deceased","female",9251,
"2016","95 plus years old","Deceased","male",995,
"2016","95 plus years old","Deceased","female",3354,
"2016","not applicable","Deceased","male",-,
"2016","not applicable","Deceased","female",-,
"2017","Up to 4 years old","Deceased","male",173,
"2017","Up to 4 years old","Deceased","female",141,
"2017","5 to 9 years old","Deceased","male",15,
"2017","5 to 9 years old","Deceased","female",11,
"2017","10 to 14 years old","Deceased","male",22,
"2017","10 to 14 years old","Deceased","female",18,
"2017","15 to 19 years old","Deceased","male",87,
"2017","15 to 19 years old","Deceased","female",38,
"2017","20 to 24 years old","Deceased","male",134,
"2017","20 to 24 years old","Deceased","female",40,
"2017","25 to 29 years old","Deceased","male",178,
"2017","25 to 29 years old","Deceased","female",67,
"2017","30 to 34 years old","Deceased","male",184,
"2017","30 to 34 years old","Deceased","female",91,
"2017","35 to 39 years old","Deceased","male",260,
"2017","35 to 39 years old","Deceased","female",129,
"2017","40 to 44 years old","Deceased","male",374,
"2017","40 to 44 years old","Deceased","female",215,
"2017","45 to 49 years old","Deceased","male",720,
"2017","45 to 49 years old","Deceased","female",397,
"2017","50 to 54 years old","Deceased","male",1305,
"2017","50 to 54 years old","Deceased","female",744,
"2017","55 to 59 years old","Deceased","male",2030,
"2017","55 to 59 years old","Deceased","female",1022,
"2017","60 to 64 years old","Deceased","male",2553,
"2017","60 to 64 years old","Deceased","female",1456,
"2017","65 to 69 years old","Deceased","male",3509,
"2017","65 to 69 years old","Deceased","female",2092,
"2017","70 to 74 years old","Deceased","male",4556,
"2017","70 to 74 years old","Deceased","female",2913,
"2017","75 to 79 years old","Deceased","male",6293,
"2017","75 to 79 years old","Deceased","female",4777,
"2017","80 to 84 years old","Deceased","male",5885,
"2017","80 to 84 years old","Deceased","female",6059,
